,AUFNR_Order,KTEXT_OrderDescr,ILART_MaintenanceActivityTypeID,GSTRP_BasicStartDateID,GLTRP_BasicFinishDateID,ActualCost,FLOC_STRNO_FunctionalLocation,FLOC_PLTXT_FunctionalLocationDescr,FLOC_EARTX_TechnicalObjectTypeDescr,FLOC_STORT_LocationDescr
50,50411092,FY22 RTI Chase Team NL Engineering,C50,20210701,20220630,3097.34,NL-01CR,NEWLANDS LINE,Corridor Objects,
51,80105156,Genset Inspections Merinda,T54,20210701,20220630,7802.83,,,,
52,50410955,FY22 Fire & Vegetation NL Merinda,C44,20210701,20220630,17156.57,NL-01CR,NEWLANDS LINE,Corridor Objects,
53,80105056,Cable Location Tunnel - Edungalba,T54,20210701,20220630,2968.57,,,,
54,50412806,Transformer Oil Sampling PowerLink ESamp,T27,20210701,20220630,81423.0,,,,
55,50411075,FY22 MMY Chase Team NL Merinda,C50,20210701,20220630,15561.92,NL-01CR,NEWLANDS LINE,Corridor Objects,
56,50411093,FY22 TSR Management NL Engineering,C50,20210701,20220630,1900.68,NL-01CR,NEWLANDS LINE,Corridor Objects,
57,50411094,FY22 NAM Inspections NL Engineering,C50,20210701,20220630,68845.11,NL-01CR,NEWLANDS LINE,Corridor Objects,
58,50411017,FY22 Grease Purchases NL Merinda,C52,20210701,20220630,96669.0,NL-01CR,NEWLANDS LINE,Corridor Objects,
59,50410939,FY22 Track Geometry Recording NL,C29,20210701,20220630,207790.0,NL-01CR,NEWLANDS LINE,Corridor Objects,
60,50411030,FY22 TSR Management BW Blackwater,C50,20210701,20220630,67062.91,,,,
61,50411073,FY22 RTI Chase Team GA Moranbah,C50,20210701,20220630,186995.43,,,,
62,50411071,FY22 TSR Management GA Jilalan,C50,20210701,20220630,0.0,,,,
63,50411015,FY22 Grease Purchases GA Jilalan,C52,20210701,20220630,528992.13,,,,
64,50411027,FY22 Closure Rail Testing GA Jilalan,C54,20210701,20220630,11341.83,,,,
65,50412464,FY22 ATIS Chase Team GA Moranbah,C50,20210701,20220630,0.0,,,,
66,50412465,FY22 ATIS Chase Team GA Engineering,C50,20210701,20220630,3496.08,,,,
67,50410936,FY22 Ultrasonic Test Ontrack RTI GA,C30,20210701,20220630,554226.26,,,,
68,50411033,FY22 ATIS Chase Team BW Blackwater,C50,20210701,20220630,15726.71,,,,
69,50411011,FY22 Grease Purchases BW Blackwater,C52,20210701,20220630,1585.61,,,,
70,50411065,FY22 MMY Chase Team BW Gracemere,C50,20210701,20220630,23764.03,,,,
71,50411097,FY22 Closure Rail Testing GA Moranbah,C54,20210701,20220630,551.43,,,,
72,50411072,FY22 MMY Chase Team GA Moranbah,C50,20210701,20220630,9570.28,,,,
73,50411013,FY22 Grease Purchases BW Gracemere,C52,20210701,20220630,237878.4,,,,
74,50411083,FY22 MMY Chase Team GA Engineering,C50,20210701,20220630,51940.91,,,,
75,50411079,FY22 RTI Chase Team BW Engineering,C50,20210701,20220630,6736.13,,,,
76,50410953,FY22 Fire & Vegetation GA Moranbah,C44,20210701,20220630,759221.31,,,,
77,50410952,FY22 Fire & Vegetation GA Jilalan,C44,20210701,20220630,47678.43,,,,
78,50411074,FY22 TSR Management GA Moranbah,C50,20210701,20220630,86845.87,,,,
79,50411016,FY22 Grease Purchases GA Moranbah,C52,20210701,20220630,78142.0,,,,
80,50411080,FY22 TSR Management BW Engineering,C50,20210701,20220630,0.0,,,,
81,50410968,Rail Grinding Turnouts Goonyella - C26,C26,20210701,20230630,4835231.24,,,,
82,50410935,FY22 Ultrasonic Test Ontrack RTI BW,C30,20210701,20220630,514720.4,,,,
83,50410967,Rail Grinding Mainline Goonyella - C25,C25,20210701,20230630,20234694.78,,,,
84,50411068,FY22 ATIS Chase Team BW Gracemere,C50,20210701,20220630,0.0,,,,
85,50410951,FY22 Fire & Vegetation BW Gracemere,C44,20210701,20220630,52406.89,,,,
86,50411096,FY22 Closure Rail Testing BW Gladstone,C54,20210701,20220630,3346.2,,,,
87,50411061,FY22 ATIS Chase Team BW Gladstone,C50,20210701,20220630,12121.03,,,,
88,50411085,FY22 TSR Management GA Engineering,C50,20210701,20220630,9858.08,,,,
89,50411012,FY22 Grease Purchases BW Gladstone,C52,20210701,20220630,0.0,,,,
90,50411031,FY22 MMY Chase Team BW Blackwater,C50,20210701,20220630,48324.23,,,,
91,50411067,FY22 TSR Management BW Gracemere,C50,20210701,20220630,146261.74,,,,
92,50411036,FY22 MMY Chase Team BW Gladstone,C50,20210701,20220630,125289.65,,,,
93,50411095,FY22 Closure Rail Testing BW Gracemere,C54,20210701,20220630,0.0,,,,
94,50411026,FY22 Closure Rail Testing BW Blackwater,C54,20210701,20220630,0.0,,,,
95,50411084,FY22 RTI Chase Team GA Engineering,C50,20210701,20220630,19898.83,,,,
96,50411081,FY22 ATIS Chase Team BW Engineering,C50,20210701,20220630,71492.15,,,,
97,50410950,FY22 Fire & Vegetation BW Gladstone,C44,20210701,20220630,8848.22,,,,
98,50410981,FY22 Track Geometry Recording GA,C29,20210701,20220630,905711.0,,,,
99,50411032,FY22 RTI Chase Team BW Blackwater,C50,20210701,20220630,164586.37,,,,
100,50410980,FY22 Track Geometry Recording BW,C29,20210701,20220630,878821.0,,,,
101,50411034,FY22 TSR Management BW Gladstone,C50,20210701,20220630,36517.55,,,,
102,50411066,FY22 RTI Chase Team BW Gracemere,C50,20210701,20220630,215354.63,,,,
103,50411078,FY22 MMY Chase Team BW Engineering,C50,20210701,20220630,114217.9,,,,
104,50410971,Rail Grinding Mainline Moura - C25,C25,20210701,20230630,1919965.13,MA,MOURA,Track Objects,
105,50410972,Rail Grinding Turnouts Moura - C26,C26,20210701,20230630,145866.81,MA,MOURA,Track Objects,
106,57052002,Wandoo - Waitara Down Rd C19,C19,20210702,20210702,27951.31,,,,
107,57052050,Dakenba - Callide - C57,C57,20210702,20210702,5913.11,MA-07ML,DAKENBA-CALLIDE MINE,Loading Facility,
108,80100898,OH-Jil Loco Fac-Const,T24,20210702,20210702,690.23,,,,
109,57052051,Dakenba - Callide - C19,C19,20210702,20210702,3772.35,MA-07ML,DAKENBA-CALLIDE MINE,Loading Facility,
110,50411086,FY22 NAM Inspections GA Engineering,C50,20210702,20220426,120751.42,,,,
111,50411035,FY22 RTI Chase Team BW Gladstone,C50,20210702,20220423,106626.13,,,,
112,57049357,Macarthur - Coppabella Down Rd C19,C19,20210702,20210702,15572.86,,,,
113,80103021,OH-TOU-Bajool 10A-Construction,T24,20210702,20221129,431484.35,,,,
114,80104512,C01 - BLA-MAL 159.300km-162.400km,C01,20210702,20210715,0.0,,,,
115,57052003,Waitara - Braeside Down Rd C19,C19,20210703,20210703,26783.2,,,,
116,57052296,Coppabella - Ingsdon Up Rd C19,C19,20210703,20210703,34352.64,GA-03ML,COPPABELLA-OAKY CREEK,Main Line,
117,57047396,Bajool Up - 10A - C23,C23,20210703,20210705,14395.19,TO000836,604.707KM 10A/B TURNOUT BAJOOL,Electrical Turnout,Bajool
118,57052000,Winchester - Peak Downs Main C19,C19,20210704,20210704,28758.65,GA-03ML,COPPABELLA-OAKY CREEK,Main Line,
119,57052004,Braeside - Mindi Down Rd C19,C19,20210704,20210704,27951.31,,,,
120,57053674,Daly Bay TO 8AB C23,C23,20210705,20210705,13847.68,TO000491,3.053KM 8A/B TURNOUT DALRYMPLE BAY,Electrical Turnout,Dalrymple
121,80104017,PS-AR-ATs-RL AT4 (FY22),T32,20210705,20210706,40784.19,ST000340-36,RANGAL FS - AT4,Transformer,Rangal
122,57053673,Daly Bay 7AB C23,C23,20210705,20210705,10342.22,TO000490,3.007KM 7A/B TURNOUT DALRYMPLE BAY,Electrical Turnout,Dalrymple
123,57053579,Millenium Balloon C19,C19,20210705,20210705,0.0,,,,
124,57053694,Peak Downs Main C19,C19,20210705,20210705,4677.26,GA-03ML,COPPABELLA-OAKY CREEK,Main Line,
125,57052297,Millenium - Red Mountain Main C19,C19,20210705,20210705,13788.55,GA-03ML,COPPABELLA-OAKY CREEK,Main Line,
126,57052195,Hay Point TO 12AB C23,C23,20210706,20210707,5538.15,TO000501,8.069KM 12A/B TURNOUT DALRYMPLE BAY,Electrical Turnout,Dalrymple
127,57053744,Peak Downs - Harrow Main C19,C19,20210706,20210706,9650.1,GA-03ML,COPPABELLA-OAKY CREEK,Main Line,
128,80104225,Hay Point 10AB BCD TSR Sup 3.528 - 3.680,C14,20210706,20210706,457.13,TO000568,3.627KM 10A/B TURNOUT HAY POINT,Electrical Turnout,Hay Point
129,80104480,YUK-BMT BCD Support Remove 3 x Greasers,C14,20210706,20210709,13075.14,,,,
130,80104223,PAS 8CD Up BCD TSR SUP 14.350 - 14.515km,C14,20210706,20210706,457.13,TO000470,14.455KM 8C/D TURNOUT PRAGUELANDS,Electrical Turnout,Praguelands
131,57052327,Mindi - South Walker Down Rd C19,C19,20210706,20210706,26197.98,,,,
132,80104224,Dal 48AB Ar/Dep Rd BCD TSR 7.985 - 8.040,C14,20210706,20210706,457.13,TO000485,7.99KM 48A/B TURNOUT DALRYMPLE BAY,Electrical Turnout,Dalrymple
133,57049522,Coppabella TO 7AB C23,C23,20210706,20210706,4838.22,TO000298,142.595KM 7A/B TURNOUT COPPABELLA,Electrical Turnout,Coppabella
134,80104227,PAS UP 8cd SUPP BCD Bnd Int,C13,20210707,20210707,27143.48,TO000470-01,PS8C Pts (SNX),Electric Points,Praguelands
135,80104489,HAY 10ab SUPP BCD Bnd Int,C13,20210707,20210708,10072.33,TO000568-01,HP10A Pts,Electric Points,Hay Point
136,80103945,Hay Point 10AB C13,C13,20210707,20210707,7808.41,TO000568,3.627KM 10A/B TURNOUT HAY POINT,Electrical Turnout,Hay Point
137,80103949,Praguelands TO 8CD C13,C13,20210707,20210707,10276.31,TO000470,14.455KM 8C/D TURNOUT PRAGUELANDS,Electrical Turnout,Praguelands
138,80104147,Hay Point 10AB C13,C13,20210707,20210714,97416.58,TO000568,3.627KM 10A/B TURNOUT HAY POINT,Electrical Turnout,Hay Point
139,80104609,YUK Dn SUPP BCD Bnd HBD 33.200k,C14,20210707,20210708,11358.25,,,,
140,80104440,2000 Yukan to Black Mountain Down,C01,20210707,20211030,1686097.35,,,,
141,80103967,SUPP YUK-BMT ISO 35.45-39KM,C01,20210707,20210709,11219.11,,,,
142,57053319,Peak Downs - Harrow Main C19,C19,20210707,20210707,28535.34,GA-03ML,COPPABELLA-OAKY CREEK,Main Line,
143,80104718,RM900 SUPP BMT-YUK,C01,20210707,20210710,0.0,,,,
144,57052191,Coppabella TO 8CD C23,C23,20210707,20210707,6707.17,TO000464,142.812KM 8C/D TURNOUT COPPABELLA,Electrical Turnout,Coppabella
145,50410291,FY22 ELEC SYS CLSOURE GA 7-9/7/2021,T24,20210707,20210707,-0.06,,,,
146,57052190,Coppabella TO 8AB C23,C23,20210707,20210707,3202.88,TO001200,144.43KM 5 TURNOUT COPPABELLA,Manual Turnout,Coppabella
147,57052323,Wandoo - Waitara Up Rd C19,C19,20210707,20210708,29938.47,,,,
148,57051227,Coppabella TO 9AB C23,C23,20210707,20210707,3202.88,TO000230,142.763KM 9A/B TURNOUT COPPABELLA,Electrical Turnout,Coppabella
149,57053763,Coppabella TO 7CD C23,C23,20210707,20210707,3436.5,TO000257,142.691KM 7C/D TURNOUT COPPABELLA,Electrical Turnout,Coppabella
150,57052199,Praguelands TO 8AB C23,C23,20210708,20210708,3436.5,TO000442,14.359KM 8A/B TURNOUT PRAGUELANDS,Electrical Turnout,Praguelands
151,57053693,Hay Point Arr Rd 2 C57,C57,20210708,20210708,2010.28,GA-01BA,ARRIVAL RD HAY PT BLOOP 2,Unloading Facility,Hay Point
152,57052320,Praguelands TO 12AB C23,C23,20210708,20210708,4604.6,TO000471,14.477KM 12A/B TURNOUT PRAGUELANDS,Electrical Turnout,Praguelands
153,50411082,FY22 NAM Inspections BW Engineering,C50,20210708,20220404,111142.19,,,,
154,57053765,Winchester - Peak Downs Main C19,C19,20210708,20210708,22126.0,GA-03ML,COPPABELLA-OAKY CREEK,Main Line,
155,57053764,Winchester - Peak Downs Main C19,C19,20210708,20210708,6409.34,GA-03ML,COPPABELLA-OAKY CREEK,Main Line,
156,57052194,Praguelands TO 12CD C23,C23,20210708,20210708,3436.5,TO000441,14.578KM 12C/D TURNOUT PRAGUELANDS,Electrical Turnout,Praguelands
157,80103948,Daly Bay 48AB C13,C13,20210708,20210708,9535.09,TO000485,7.99KM 48A/B TURNOUT DALRYMPLE BAY,Electrical Turnout,Dalrymple
158,57052192,Coppabella TO 11AB C23,C23,20210709,20210709,5681.89,TO000228,145.389KM 11A/B TURNOUT COPPABELLA,Electrical Turnout,Coppabella
159,80104151,Praguelands 8CD,C13,20210709,20210709,81577.82,TO000470,14.455KM 8C/D TURNOUT PRAGUELANDS,Electrical Turnout,Praguelands
160,57052324,Bolingbroke - Balook Up Rd C19,C19,20210709,20210710,25731.92,,,,
161,57048578,Jilalan TO 7CD C23,C23,20210709,20210709,22437.74,TO000569,17.421KM 7C/D TURNOUT JILALAN,Electrical Turnout,Jilalan
162,57052193,Coppabella TO 11CD C23,C23,20210709,20210710,4733.08,TO000281,145.485KM 11C/D TURNOUT COPPABELLA,Electrical Turnout,Coppabella
163,57053745,Millenium - Winchester Main C19,C19,20210709,20210709,23995.91,GA-03ML,COPPABELLA-OAKY CREEK,Main Line,
164,57051577,Epala - Raglan Up - C02,C02,20210711,20210711,9556.84,,,,
165,57053439,Gracemere Down - C19,C19,20210711,20210711,7106.61,,,,
166,57052063,Archer Up - ER1.2A - C23,C23,20210711,20210711,6123.12,TO000843,615.501KM ER1.2A TURNOUT BAJOOL-ARCHER,Manual Turnout,Archer-Bajool
167,80104719,RM900 SUPP YUK- BMT,C01,20210711,20210713,36481.5,,,,
168,80104692,YUK Dn - Diverse SUPP BCD Bnd 31.600k,C14,20210711,20210711,4108.71,,,,
169,57052694,Gracemere Down - 10CD - C23,C23,20210711,20210711,6940.8,TO000679,9.059KM 10C/D TURNOUT GRACEMERE,Electrical Turnout,Gracemere
170,80104612,2001 Yukan to Black Mountain Down,C01,20210711,20210720,800366.1,,,,
171,80104602,SR_MEM-STR_Sn_Humboldt_52.325km_11/07/21,B04,20210711,20210725,11628.69,ST006880,Memooloo-Starlee,Lvl5 Feature Locatio,Memooloo-Starlee
172,80104603,SR_MEM-STR_Sn_CometRvr_72.330km_11/07/21,B04,20210711,20210714,4683.77,ST006880,Memooloo-Starlee,Lvl5 Feature Locatio,Memooloo-Starlee
173,57053809,Gracemere Down - C53,C53,20210711,20210711,2502.03,,,,
174,57049142,Ambrose - Epala Down - C19,C19,20210711,20210711,13524.53,,,,
175,80104471,Bajool Up C14,C14,20210712,20210717,67914.91,,,,
176,57052366,Mt Larcom Up - C02,C02,20210712,20210712,8327.93,,,,
177,57052367,Mt Larcom Up - C02,C02,20210712,20210712,5941.16,,,,
178,80103957,Bajool Up - C14,C14,20210712,20210712,6458.06,,,,
179,80104747,SR_RCK-GRC_Dn_4.274km_12/07/21,C14,20210712,20210712,3015.81,,,,
180,80104744,Bluff - Boonal Down - C14,C14,20210712,20210712,16693.67,,,,
181,80104746,SR_BJL_Up_606.630km_12/07/21,C14,20210712,20210712,2293.72,,,,
182,57052277,Kabra Up - 9A - C23,C23,20210712,20210712,4607.3,TO000695,15.427KM 9A TURNOUT KABRA,Electrical Turnout,Kabra
183,57052276,Kabra Up - 12AB - C23,C23,20210712,20210712,5271.54,TO000766,13.363KM 12A/B TURNOUT KABRA,Electrical Turnout,Kabra
184,80104745,Bluff - Boonal Up - C14,C14,20210712,20210712,8338.55,,,,
185,50410290,FY22 ELEC SYS CLOSURE BW 12 & 13/7/21,T24,20210712,20210712,4842.27,,,,
186,57052660,Bluff - Boonal Down - C02,C02,20210712,20210712,0.0,,,,
187,57053838,Kabra Down - 12CD - C23,C23,20210712,20210712,4570.69,TO000677,13.559KM 12C/D TURNOUT KABRA,Electrical Turnout,Kabra
188,57052368,Rocklands Coal Main - C02,C02,20210712,20210712,7107.38,,,,
189,80103956,Rolleston - C14,C14,20210712,20210713,25423.3,BW-06ML,KINROLA JCT-ROLLESTON,Loading Facility,
190,57052373,Bluff - Boonal Up - C02,C02,20210712,20210712,0.0,,,,
191,57052278,Warren Up - 46A - C23,C23,20210712,20210712,4872.1,TO000697,25.444KM 46A TURNOUT WARREN,Electrical Turnout,Warren
192,80104385,Rolleston C14,C14,20210712,20210716,213927.51,BW-06ML,KINROLA JCT-ROLLESTON,Loading Facility,
193,80104693,SR_HUMCk_52.325km_12/07/21,C20,20210712,20210713,934.47,ST006880,Memooloo-Starlee,Lvl5 Feature Locatio,Memooloo-Starlee
194,80104694,SR_COMETRvr_72.160km_12/07/21,C20,20210712,20210713,4459.99,ST006920,Memooloo-Starlee 72 Km WS,Lvl5 Feature Locatio,Memooloo-Starlee
195,57052279,Warren Up - 45A - C23,C23,20210712,20210712,2769.53,TO000698,25.541KM 45A TURNOUT WARREN,Electrical Turnout,Warren
196,80104152,Rolleston ER2A C13,C13,20210712,20210717,213481.71,TO000825,107.062KM FR.2A TURNOUT ROLLESTON,Manual Turnout,Rolleston Mine
197,80103955,Rolleston - ER2A - C13,C13,20210712,20210712,8241.06,TO000825,107.062KM FR.2A TURNOUT ROLLESTON,Manual Turnout,Rolleston Mine
198,80104561,2002 Praguelands to Jilalan Down,C01,20210713,20210720,532428.01,,,,
199,80104740,PAS UP SUPP BCD Bnd 15.879k,C14,20210713,20210714,3429.66,,,,
200,80104738,SR_WYC_Up_36.695-36.745km_13/07/21,C02,20210713,20210714,1463.69,,,,
201,80104720,RM900 SUPP PAS-JIL,C01,20210713,20210714,31098.62,,,,
202,57052340,Gracemere Down - 11AB - C23,C23,20210713,20210713,8007.2,TO000661,4.274KM 11A/B TURNOUT GRACEMERE,Electrical Turnout,Gracemere
203,57052370,Warren - Wycarbah Down - C19,C19,20210713,20210713,18084.98,,,,
204,57052341,Gracemere Down - 12CD - C23,C23,20210713,20210714,9876.14,TO000662,4.111KM 12C/D TURNOUT GRACEMERE,Electrical Turnout,Gracemere
205,57052369,Warren - Wycarbah Up - C57,C57,20210713,20210713,9261.47,,,,
206,57052374,Rangal - Tikardi - C19,C19,20210713,20210713,10284.59,BW-05ML,RANGAL-KINROLA MINE,Loading Facility,
207,57053943,Midgee - Archer Up - C19,C19,20210714,20210714,17633.51,,,,
208,57052593,Trpyhinia - Dingo Down - C19,C19,20210714,20210715,10343.4,,,,
209,57052535,German Creek Exit Rd C19,C19,20210714,20210714,23629.34,GA-22ML,GERMAN CK  SP&BLOOP,Loading Facility,
210,57052536,Stephens - Middlemount Jnct C19,C19,20210715,20210715,29002.57,GA-03ML,COPPABELLA-OAKY CREEK,Main Line,
211,600001667,3205 Binbee 7AB C13,C13,20210715,20220111,0.0,TO000167,44.453KM 7A/B TURNOUT BINBEE,Electrical Turnout,Binbee
212,600001668,3205 Binbee 12AB C13,C13,20210715,20220111,0.0,TO000175,46.213KM 12A/B TURNOUT BINBEE,Electrical Turnout,Binbee
213,600001695,3223 Stirrat 12A C13,C13,20210715,20220111,0.0,TO000961,39.395KM 12A TURNOUT STIRRAT,Electrical Turnout,Stirrat
214,57052594,Trpyhinia - Dingo Down - C02,C02,20210715,20210715,11511.49,,,,
215,50411070,FY22 RTI Chase Team GA Jilalan,C50,20210715,20220203,292584.66,,,,
216,57052537,Middlemount - Bundoora Main C19,C19,20210716,20210716,25615.11,GA-03ML,COPPABELLA-OAKY CREEK,Main Line,
217,57052610,Edungalba - Aroona Down - C19,C19,20210716,20210716,10927.46,,,,
218,57053224,Bajool - Archer Up - C19,C19,20210716,20210716,8210.18,,,,
219,57052695,Edungalba - Aroona Down - C19,C19,20210716,20210716,12679.58,,,,
220,57053222,Bajool - Archer Up - C19,C19,20210716,20210716,5732.14,,,,
221,57052461,Midgee - Archer Down - C19,C19,20210716,20210716,13955.61,,,,
222,80103369,PS-AR-ATs-RD AT1 (FY21),T32,20210716,20210716,65136.31,,,,
223,57052611,Windah - Grantleigh Down - C02,C02,20210717,20210717,11350.28,,,,
224,57052614,Westwood Up - ER1.2B - C23,C23,20210717,20210717,6322.85,TO000704,46.317KM ER1.2B TURNOUT WESTWOOD,Manual Turnout,Westwood
225,57052613,Westwood Up - ER1.2A - C23,C23,20210717,20210717,5933.86,TO000705,46.767KM ER1.2A TURNOUT WESTWOOD,Manual Turnout,Westwood
226,57052462,Archer - Bajool Down - C19,C19,20210717,20210717,24213.17,,,,
227,57052463,Rocklands Coal Main - C19,C19,20210718,20210718,12169.11,,,,
228,57052615,Wycarbah - Westwood Up - C19,C19,20210718,20210718,9097.72,,,,
229,57053309,Marmor - Raglan Down - C19,C19,20210718,20210718,6886.73,,,,
230,57052465,Marmor - Raglan Down - C19,C19,20210718,20210718,7470.78,,,,
231,57052616,Westwood - Windah Up - C19,C19,20210718,20210718,10654.58,,,,
232,57052539,Millenium - Red Mountain Main C19,C19,20210718,20210718,12223.53,GA-03ML,COPPABELLA-OAKY CREEK,Main Line,
233,57053991,Coppabella - Broadlea Up Rd C19,C19,20210718,20210718,13002.65,,,,
234,57052717,Warren Up - C19,C19,20210719,20210720,8625.13,,,,
235,57052617,Warren Up - 10CD - C23,C23,20210719,20210719,6906.89,TO000696,25.267KM 10C/D TURNOUT WARREN,Electrical Turnout,Warren
236,57052618,Warren Down - 10AB - C23,C23,20210719,20210719,6321.68,TO000673,25.134KM 10A/B TURNOUT WARREN,Electrical Turnout,Warren
237,57051220,Mindi - South Walker Down Road C19,C19,20210719,20210719,27951.31,,,,
238,57052377,Epala - Mt Larcom Up - C19,C19,20210719,20210719,27604.24,,,,
239,57052908,Aldoga Down - C02,C02,20210720,20210720,5921.98,,,,
240,80104542,DAL-PAS BCD Support Remov Greaser 11.683,C14,20210720,20210723,7765.89,,,,
241,80101501,OH-Axel-Edungalba-Bond-Supp,T54,20210720,20210720,50555.69,,,,
242,57052509,Aldoga - Mt Larcom Down - C19,C19,20210720,20210720,18623.2,,,,
243,80101502,OH-Axel-Wallaroo-Bond-Supp,T54,20210720,20220829,145652.85,,,,
244,80101557,PS-CP-CDs-GA (FY21),T32,20210720,20210720,63870.49,,,,
